Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Ambiente 05 2025 (Originator: Aristo Securities Private Limited),Long Term - Series A1 PTCs,IVR BBB (SO)(Affirmed),Stable,Rs. 9.93 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-ambiente-25jul25.pdf
Amitex Agro Product Private Limited,Long Term Facilities,Withdrawn,Nil,0.00 (Reduced from Rs. 27.09 Cr.),"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-amitex-agroproduct-25july25.pdf
Anindita Steels Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),Negative,Rs. 26.68 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-anindita-steels-25july25.pdf
Anindita Steels Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 3.92 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-anindita-steels-25july25.pdf
Aqualite Industries Private Limited,Long Term Bank Facility,IVR BBB- (Assigned),Stable,Rs. 143.88 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-aqualite-industries-25july25.pdf
Aqualite Industries Private Limited,Short Term Bank Facility,IVR A3 (Assigned),Nil,Rs. 23.00 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-aqualite-industries-25july25.pdf
Bright Packaging Private Limited,Long Term Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 8.00 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-Bright-Packaging-25july25.pdf
Bright Packaging Private Limited,Short Term Facilities,IVR A4 (INC)(Downgraded),Nil,Rs. 1.00 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-Bright-Packaging-25july25.pdf
GOC Petrochemicals Private Limited,Long Term Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 20.45 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/Pr-GOC-Petrochemicals-25july25.pdf
GOC Petrochemicals Private Limited,Short Term Facilities,IVR A4 (INC)(Downgraded),Nil,Rs. 29.00 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/Pr-GOC-Petrochemicals-25july25.pdf
KCC Agri Logistics (Borivali) Private Limited,Long Term Bank Facilities,IVR BBB- (CE)(Reaffirmed),Stable,Rs. 100.11 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-KCC-Agri-25july25.pdf
KCC Infra Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 43.50 Cr. (Increased from Rs 25.15 crore),"Jul 25, 2025",https://www.infomerics.com/admin/uploads/Pr-KCC-Infra-25july25.pdf
KCC Infra Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 245.00 Cr. (Increased from Rs 134.10 crore),"Jul 25, 2025",https://www.infomerics.com/admin/uploads/Pr-KCC-Infra-25july25.pdf
Kerala State Electricity Board Limited,Long Term Bank Facilities,IVR BBB+ (Assigned),Stable,Rs. 75.00 Cr.,"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-KeralaState-ElectricityBoard-25july25.pdf
Kerala State Electricity Board Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),Stable,Rs. 3611.76 Cr. (Enhanced from Rs. 3554.59 Crore),"Jul 25, 2025",https://www.infomerics.com/admin/uploads/pr-KeralaState-ElectricityBoard-25july25.pdf
