Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
A2Z Auto Wheels Private Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),Stable,Rs. 36.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-A2ZAutoWheels-13mar25.pdf
Alpana Papers Private Limited,Long Term Bank Facilities,IVR BB- (Reaffirmed),Stable,Rs. 50.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-Alpana-Papers-13mar25.pdf
Alpana Papers Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 5.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-Alpana-Papers-13mar25.pdf
Autofin Limited,Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 62.67 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-autofin-13mar25.pdf
CFM Asset Reconstruction Private Limited,Fund Based Long Term Bank Facilities - Term Loans,IVR A- (Reaffirmed),Stable,Rs. 77.38 Cr. (Increased from Rs. 7.39 Cr.),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-CFM-ARC-13mar25.pdf
CFM Asset Reconstruction Private Limited,Fund Based Long Term Bank Facilities - Proposed Long Term Loans,IVR A- (Reaffirmed),Stable,Rs. 47.62 Cr. (Decreased from Rs. 117.61 Cr.),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-CFM-ARC-13mar25.pdf
CFM Asset Reconstruction Private Limited,Fund Based Short Term Bank Facilities - Secured Overdraft,IVR A2+ (Reaffirmed),Nil,Rs. 50.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-CFM-ARC-13mar25.pdf
CFM Asset Reconstruction Private Limited,Non-Convertible Debentures (NCDs),Withdrawn,Nil,0.00 (reduced from Rs. 34.00 Cr.),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-CFM-ARC-13mar25.pdf
Gainup Industries India Private Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 44.41 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-gainup-industries-13mar25.pdf
Gainup Industries India Private Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),Nil,Rs. 84.85 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-gainup-industries-13mar25.pdf
Hans Industries Private Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),Stable,Rs. 8.97 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-hans-industries-13mar25.pdf
Hans Industries Private Limited,Long Term/Short Term Bank Facilities,IVR BB+/IVR A4+; (Reaffirmed),Stable/-,Rs. 40.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-hans-industries-13mar25.pdf
Indian Products Private Limited (IPPL),Long /Short Term Bank Facilities,IVR BBB-/IVR A3; (Reaffirmed)(Withdrawn),Stable/-,Rs. 20.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-indian-products-13mar25.pdf
Indian Products Private Limited (IPPL),Short Term Bank Facilities,IVR A3 (Reaffirmed)(Withdrawn),Nil,Rs. 225.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-indian-products-13mar25.pdf
Insight Media City India Private Limited(IMC),Long Term Facilities,IVR BBB- (Upgraded),Stable,Rs. 29.60 Cr. (Reduced from Rs. 40.00 Crore),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-Insight-Media-City-13mar25.pdf
Insignian Home Private Limited (IHPL),Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 5.15 Cr. (Enhanced from Rs. 3.97 crore),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-Insignian-Home-13mar25.pdf
Insignian Home Private Limited (IHPL),Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 94.45 Cr. (Enhanced from Rs. 34.45 Crore),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-Insignian-Home-13mar25.pdf
Jaimal Traders Private Limited (JTPL),Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 20.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-Jaimal-Traders-13mar25.pdf
Jaimal Traders Private Limited (JTPL),Long Term Bank Facilities - Proposed,IVR BB- (Assigned),Stable,Rs. 5.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-Jaimal-Traders-13mar25.pdf
Manilam Industries India Limited,Long Term Bank Facilities,IVR BB+ (Assigned),Stable,Rs. 75.81 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-manilam-industries-13mar25.pdf
MDFC Financiers Private Limited,Long Term Facilities- Term Loans,IVR BBB- (Reaffirmed),Stable,Rs. 39.46 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-MDFC-Financiers-13mar25.pdf
MDFC Financiers Private Limited,Proposed Long Term Facilities - Term Loan,IVR BBB- (Reaffirmed),Stable,Rs. 74.54 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-MDFC-Financiers-13mar25.pdf
MDFC Financiers Private Limited,Long Term Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 0.50 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-MDFC-Financiers-13mar25.pdf
MDFC Financiers Private Limited,Proposed Long Term Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 0.50 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-MDFC-Financiers-13mar25.pdf
MDFC Financiers Private Limited,Long Term Facilities- Term Loan,Withdrawn,Nil,0.00,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/Pr-MDFC-Financiers-13mar25.pdf
MKC Badarpur Churaibari Kamakhya Highways Private Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 255.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-MKC-Badarpur-13mar25.pdf
MKC Belgaum Raichur (Pkg-2) Najundeshwara Highways Private Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 480.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-MKCBelgaum-Raichurpkg2-13mar25.pdf
MKC Belgaum Raichur (Pkg-2) Najundeshwara Highways Private Limited,Long Term / Short Term Bank Facilities,IVR A-/IVR A2+; (Assigned),Stable/-,Rs. 39.18 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-MKCBelgaum-Raichurpkg2-13mar25.pdf
MKC Jaunpur Akbarpur Kashivishwanathji (pkg-2) Highways Private Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 320.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-MKCJaunpur-Pkg2-13mar25.pdf
MKC Jaunpur Akbarpur Kashivishwanathji (pkg-3) Highways Private Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 350.00 Cr.,"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-MKCJaunpur-Pkg3-13mar25.pdf
NLC India Limited,Long Term Bank Facility,IVR AAA (Reaffirmed),Stable,Rs. 1092.36 Cr. (Reduced from Rs. 1260.44 Crore),"Mar 13, 2025",https://www.infomerics.com/admin/uploads/pr-NLC-India-13mar25.pdf
