Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Ankur Udyog Limited,Long Term Facilities,IVR BBB+ (Assigned),Stable,Rs. 445.69 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Ankur-Udyog-27dec24.pdf
Ankur Udyog Limited,Short Term Facilities,IVR A2 (Assigned),Nil,Rs. 3.10 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Ankur-Udyog-27dec24.pdf
B-Right Real Estate Limited,Long Term - Proposed Deposits Fixed,IVR BBB- (Upgraded),Stable,Rs. 38.98 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-BRight-RealEstate-27dec24.pdf
B-Right Real Estate Limited,Long Term - Fixed Deposits,IVR BBB- (Assigned),Stable,Rs. 1.02 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-BRight-RealEstate-27dec24.pdf
Cabcon India Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),Stable,Rs. 221.75 Cr. (includes proposed facility of Rs. 4.00 Cr.) (enhanced from Rs. 152.75 Cr.),"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Cabcon-India-27dec24.pdf
Cabcon India Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 602.00 Cr. (enhanced from Rs. 381.00 Cr.),"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Cabcon-India-27dec24.pdf
Fortune Ispat Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 32.45 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Fortune-Ispat-27dec24.pdf
Gepdec Infratech Limited,Long Term Bank Facility,IVR BBB- (Assigned),Stable,Rs. 120.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Gepdec-Infratech-27dec24.pdf
Gepdec Infratech Limited,Short Term Bank Facility,IVR A3 (Assigned),Nil,Rs. 5.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Gepdec-Infratech-27dec24.pdf
Girishwara RCL Highways Private Limited,Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 27.35 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-girishwara-27dec24.pdf
Girishwara RCL Highways Private Limited,Proposed Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 33.45 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-girishwara-27dec24.pdf
Globe Precision Industries Private Limited,Long Term Bank Facility,IVR BBB- (Reaffirmed),Stable,Rs. 50.32 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-GlobePrecision-Industries-27dec24.pdf
Himenviro Environmental Engineering Company Private Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 21.20 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-himenviro-environmental-27dec2024.pdf
Himenviro Environmental Engineering Company Private Limited,Long Term/Short Term Bank Facilities,IVR BBB/ IVR A3+ (Upgraded),Stable/-,Rs. 54.50 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-himenviro-environmental-27dec2024.pdf
Mantra Industries Limited,Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 58.95 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Mantra-Industries-27dec24.pdf
Mantra Industries Limited,Short Term Facilities,IVR A3 (Assigned),Nil,Rs. 9.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Mantra-Industries-27dec24.pdf
RCL Porsa Highways Private Limited,Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 36.78 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-RCL-Porsa-27dec24.pdf
RCL Porsa Highways Private Limited,Proposed Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 60.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-RCL-Porsa-27dec24.pdf
Saatvik Ferro Limited,Long Term/ Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),Negative/-,Rs. 15.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Saatvik-Ferro-27dec24.pdf
Saatvik Ferro Limited,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),Nil,Rs. 10.00 Cr. (includes proposed limit of Rs. 10.00 Cr.),"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Saatvik-Ferro-27dec24.pdf
Satvik Enterprises Limited,Long Term Bank Facility,IVR BB+ (INC)(Downgraded),Negative,Rs. 29.72 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Satvik-Enterprises-27dec24.pdf
Satvik Enterprises Limited,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),Nil,Rs. 40.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-Satvik-Enterprises-27dec24.pdf
Shanichara RCL Highways Private Limited,Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 26.45 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/Pr-Shanicahar-RCL-27dec24.pdf
Shanichara RCL Highways Private Limited,Proposed Long Term Bank Facility,IVR BBB (Assigned),Stable,Rs. 32.40 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/Pr-Shanicahar-RCL-27dec24.pdf
Snow World Marine Exports Private Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),Stable,Rs. 25.00 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-SnowWorld-27dec24.pdf
Snow World Marine Exports Private Limited,Short Term Bank Facilities,IVR A4+ (Reaffirmed),Nil,Rs. 60.50 Cr.,"Dec 27, 2024",https://www.infomerics.com/admin/uploads/pr-SnowWorld-27dec24.pdf
Akme Fintrade (India) Limited,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB+ (Upgraded),Stable,Rs. 37.87 Cr. (Enhanced from Rs. 15.00 crore),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-Akme-Fintrade-2dec24.pdf
Akme Fintrade (India) Limited,Long Term Fund Based Bank Facilities - Cash Credit,IVR BBB+ (Upgraded),Stable,Rs. 4.00 Cr. (Reduced from Rs. 47.36 Crore),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-Akme-Fintrade-2dec24.pdf
Akme Fintrade (India) Limited,Long Term Proposed Fund Based Bank Facilities - Term Loan,IVR BBB+ (Upgraded),Stable,Rs. 68.13 Cr. (Enhanced from Rs. 47.64 Crore),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-Akme-Fintrade-2dec24.pdf
Akme Fintrade (India) Limited,Long Term Fund Based Bank Facilities - Cash Credit,Withdrawn,Nil,0.00,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-Akme-Fintrade-2dec24.pdf
Asteroid Shelter Homes Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 180.00 Cr. (includes proposed facility of Rs. 1.56 Cr),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-Asteroid-Shelter-26dec24.pdf
Bihar Foundry & Casting Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),Stable,Rs. 607.47 Cr. (enhanced from Rs. 600.76 Cr.),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-BiharFoundry-Castings-26dec24.pdf
Bihar Foundry & Casting Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 182.53 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-BiharFoundry-Castings-26dec24.pdf
Bountiful Infraprojects Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 50.00 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/Pr-Bountiful-Infraprojects-26dec24.pdf
DMW CNC Solutions India Private Limited,Long Term Fund Based Facilities,IVR BBB- (Assigned),Stable,Rs. 141.88 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-DMW-CNC-26dec24.pdf
DMW CNC Solutions India Private Limited,Short Term Non-Fund Based Facilities,IVR A3 (Assigned),Nil,Rs. 60.70 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-DMW-CNC-26dec24.pdf
DMW CNC Solutions India Private Limited,Short Term Fund Based Facilities,IVR A3 (Assigned),Nil,Rs. 1.10 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-DMW-CNC-26dec24.pdf
GLD Infraprojects Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 230.00 Cr. (includes proposed facility of Rs. 1.03 Cr),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-GLD-Infraprojects-26dec24.pdf
Jay Jagdamba Profiles Private Limited,Long term fund-based Bank facility - CC /PC/PCFC /PSC/FDBP,IVR BBB+ (Reaffirmed and Withdrawn),Stable,Rs. 17.00 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-JayJagdamba-Profile-26dec24.pdf
Jay Jagdamba Profiles Private Limited,Short term non-fund-based Bank facility - LC/BG,IVR A2 (Reaffirmed and Withdrawn),Nil,Rs. 0.50 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-JayJagdamba-Profile-26dec24.pdf
Panch Tatva Promoters Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 75.00 Cr. (includes proposed facility of Rs. 50.85 Cr),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-PanchTatva-Promoters-26dec24.pdf
PCI Infraprojects Private Limited formerly known as PCI Wires Private Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 77.00 Cr. (enhanced from Rs. 50.00 Cr. and including proposed limit of Rs. 10.00 Cr.),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-PCI-Infraprojects-26dec24.pdf
PCI Infraprojects Private Limited formerly known as PCI Wires Private Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),Nil,Rs. 229.00 Cr. (enhanced from Rs. 105.00 Cr. and including proposed limit of Rs. 67.50 Cr.),"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-PCI-Infraprojects-26dec24.pdf
Shree Jay Jagdamba Flanges Private Limited,Long term fund-based Bank facility - CC /PC/PCFC /PSC/FDBP,IVR BBB+ (Reaffirmed and Withdrawn),Stable,Rs. 14.80 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-ShreeJay-JagdambaFlanges-26dec24.pdf
Shree Jay Jagdamba Flanges Private Limited,Short term non-fund- based Bank facility - LC/BG,IVR A2 (Reaffirmed and Withdrawn),Nil,Rs. 0.59 Cr.,"Dec 26, 2024",https://www.infomerics.com/admin/uploads/pr-ShreeJay-JagdambaFlanges-26dec24.pdf
