Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 12.50 Cr.,"Mar 29, 2025",https://www.infomerics.com/admin/uploads/pr-HillBrow-29mar25.pdf
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 42.50 Cr.,"Mar 29, 2025",https://www.infomerics.com/admin/uploads/pr-HillBrow-29mar25.pdf
Sivana Steel & Power Private Limited,Long Term Bank Facilities,IVR BB (Assigned),Stable,Rs. 13.99 Cr,"Mar 29, 2025",https://www.infomerics.com/admin/uploads/pr-sivana-steelpower-29mar25.pdf
Sunil Kumar Agarwal LLP,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 53.20 Cr.,"Mar 29, 2025",https://www.infomerics.com/admin/uploads/pr-SunilKumarAgrawalLLP-29mar25.pdf
Sunil Kumar Agarwal LLP,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 111.80 Cr.,"Mar 29, 2025",https://www.infomerics.com/admin/uploads/pr-SunilKumarAgrawalLLP-29mar25.pdf
AME Infralogistics Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 20.00 Cr. (includes proposed limit of Rs. 5.00 Cr.),"Mar 28, 2025",https://www.infomerics.com/admin/uploads/pr-AME_Infralogistics_Private_Limited.pdf
ANR Automobiles Private Limited,Long-term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 80.00 Cr. (including proposed limit of Rs. 9.00 Cr.),"Mar 28, 2025",https://www.infomerics.com/admin/uploads/Pr-ANR-Automobiles-28mar25.pdf
ANR Automobiles Private Limited,Short-term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 95.00 Cr.,"Mar 28, 2025",https://www.infomerics.com/admin/uploads/Pr-ANR-Automobiles-28mar25.pdf
Aria Hotels and Consultancy Services Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 376.59 Cr.,"Mar 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Aria-Hotels-Consultancy-28mar25.pdf
Aria Hotels and Consultancy Services Private Limited,Funded Interest Term Loan,IVR BB+ (INC)(Downgraded),Negative,Rs. 43.45 Cr.,"Mar 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Aria-Hotels-Consultancy-28mar25.pdf
Aria Hotels and Consultancy Services Private Limited,Cash Credit,IVR BB+ (INC)(Downgraded),Negative,Rs. 7.50 Cr.,"Mar 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Aria-Hotels-Consultancy-28mar25.pdf
