Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Akme Fintrade (India) Limited,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB+ (Reaffirmed),Stable,Rs. 37.87 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Akme-Fintrade-28jan25.pdf
Akme Fintrade (India) Limited,Long Term Fund Based Bank Facilities - Cash Credit,IVR BBB+ (Reaffirmed),Stable,Rs. 4.00 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Akme-Fintrade-28jan25.pdf
Akme Fintrade (India) Limited,Long Term Proposed Fund Based Bank Facilities - Term Loan,IVR BBB+ (Reaffirmed),Stable,Rs. 68.13 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Akme-Fintrade-28jan25.pdf
Akme Fintrade (India) Limited,Proposed Non - Convertible Debentures (NCDs),IVR BBB+ (Assigned),Stable,Rs. 50.00 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Akme-Fintrade-28jan25.pdf
Ananya Finance for Inclusive Growth Private Limited,Non-Convertible Debentures (Promising Lenders Fund) - INE774L07032,IVR BBB- (Downgraded),Negative,Rs. 22.00 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-AFIGPL-28jan25.pdf
Ananya Finance for Inclusive Growth Private Limited,Non-Convertible Debentures (Vivriti Samarth Bond Fund) - INE774L07057,IVR BBB- (Downgraded),Negative,Rs. 10.00 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-AFIGPL-28jan25.pdf
Ananya Finance for Inclusive Growth Private Limited,Non-Convertible Debentures (UTI International Wealth Creator 4) - INE774L07040,IVR BBB- (Downgraded),Negative,Rs. 22.50 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-AFIGPL-28jan25.pdf
Ankoor Distilleries Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 335.00 Cr.,"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-ankoor-distilleries-28jan25.pdf
AYB Buildcon LLP,Long Term Bank Facility,Withdrawn,Nil,0.00 (Previously Rs. 138.50 Crore),"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-AYB-Buildcon-28jan25.pdf
First Global Services Private Limited (Erstwhile Orion Security Solutions Private Limited),Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 40.00 Cr. (including proposed limit of Rs. 15.00 crore),"Jan 28, 2025",https://www.infomerics.com/admin/uploads/pr-first-globalservices-28jan25.pdf
