Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
B N Agritech Limited,Long Term Bank Facilities,IVR A- (Upgraded),Stable,Rs. 727.80 Cr. (enhanced from Rs. 528.97 Crore),"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-BN-Agritech-30oct24.pdf
Brundavana Constructions Private Limited,Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 25.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-Brundavana-Constructions-30oct24.pdf
Brundavana Constructions Private Limited,Short Term Facilities,IVR A3 (Assigned),Nil,Rs. 80.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-Brundavana-Constructions-30oct24.pdf
Central Godavari Krushak Seva Sahakari Sanstha Limited,Long Term Facilities,IVR B+ (Upgraded),Stable,Rs. 11.31 Cr. (Reduced from Rs.53.11 crore),"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-CGKSS-30oct24.pdf
Central Godavari Krushak Seva Sahakari Sanstha Limited,Short Term Facilities,IVR A4 (Reaffirmed),Nil,Rs. 61.58 Cr. (Enhanced from Rs.10.89 crore),"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-CGKSS-30oct24.pdf
Chandrahasni Ispat Private Limited,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),Negative,Rs. 93.12 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Chandrahasni-Ispat-30oct24.pdf
Chemtrade Overseas Private Limited,Long Term Facilities,IVR B- (INC)(Downgraded),Negative,Rs. 5.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Chemtrade-Overseas-30oct24.pdf
Chemtrade Overseas Private Limited,Short Term Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 20.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Chemtrade-Overseas-30oct24.pdf
D&H Secheron Electrodes Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 34.50 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-DH-Secheron-30oct24.pdf
D&H Secheron Electrodes Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 10.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-DH-Secheron-30oct24.pdf
DMG Polypack Private Limited,Long Term Facilities,IVR C+ (INC)(Downgraded),Negative,Rs. 13.31 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-DMG-Polypack-30oct24.pdf
DMG Polypack Private Limited,Long Term Facilities,IVR C+ (INC)(Downgraded),Negative,Rs. 4.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-DMG-Polypack-30oct24.pdf
DMG Polypack Private Limited,Short Term Facility,IVR A4 (INC)(Reaffirmed),Nil,Rs. 2.69 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-DMG-Polypack-30oct24.pdf
Fortune Chemicals Limited,Long Term Facilities,IVR C (INC)(Downgraded),Negative,Rs. 45.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Fortune-Chemicals-30oct24.pdf
Fortune Chemicals Limited,Long Term Bank Facilities,IVR C (INC)(Downgraded),Negative,Rs. 5.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Fortune-Chemicals-30oct24.pdf
Frontier Knitters Private Limited,Long Term Bank Facilities,IVR B+ (Assigned),Stable,Rs. 57.65 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-Frontier-Knitters-30oct24.pdf
Frontier Knitters Private Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 18.35 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-Frontier-Knitters-30oct24.pdf
Garden Court Distilleries Private Limited,Long Term Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 96.67 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Garden-Court-30oct24.pdf
Garden Court Distilleries Private Limited,Long Term/Short Term Facilities,IVR BB+/IVR A4+; (INC)(Downgraded),Negative/-,Rs. 421.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Garden-Court-30oct24.pdf
Goa Ispat Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 27.66 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-goa-ispat-30oct24.pdf
Goa Ispat Private Limited,Short Term Bank Facilities,IVR A3 (Upgraded),Nil,Rs. 27.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-goa-ispat-30oct24.pdf
Goa Ispat Private Limited,Long Term/ Short Term (proposed),IVR BBB-/ IVR A3 (Assigned),Stable/-,Rs. 4.08 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Pr-goa-ispat-30oct24.pdf
Kohli And Sons Beverages Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 21.25 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-KohliSons-Beverages-30oct24.pdf
Kumaragiri Spinnerss Private Limited,Long Term Bank Facilities,IVR BBB (Downgraded),Stable,Rs. 176.03 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Kumaragiri-Spinners-30oct24.pdf
Kumaragiri Spinnerss Private Limited,Short Term Bank Facilities,IVR A3+ (Downgraded),Nil,Rs. 0.52 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Kumaragiri-Spinners-30oct24.pdf
Livenza Granito LLP,Long Term Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 16.33 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Livenza-Granito-30oct24.pdf
Livenza Granito LLP,Short Term Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 4.00 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Livenza-Granito-30oct24.pdf
Logix Buildtech Private Limited,NCD,IVR D (INC)(Reaffirmed),Nil,Rs. 197.41 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/Rev-pr-Logix-Buildtech-30oct2024.pdf
Mash Bio-Fuels Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 307.43 Cr.,"Oct 30, 2024",https://www.infomerics.com/admin/uploads/pr-Mash-BioFuels-30oct24.pdf
