Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
AAA Vehicleades Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 104.10 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AAA-Vehicleades-25sep25.pdf
AAA Vehicleades Private Limited,Short Term Bank Facilities,IVR A3+ (Assigned),Nil,Rs. 36.90 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AAA-Vehicleades-25sep25.pdf
AFP Manufacturing Co Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 58.00 Cr. (including proposed limit of Rs. 5.64 Cr.),"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AFP-Manufacturing-25sep25.pdf
AFP Manufacturing Co Private Limited,Long-term/ Short-term Bank Facilities,IVR BBB-/IVR A3; (Reaffirmed),Stable/-,Rs. 14.00 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AFP-Manufacturing-25sep25.pdf
AFP Manufacturing Co Private Limited,Short Term Bank Facilities,Withdrawn,Nil,-,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AFP-Manufacturing-25sep25.pdf
Ajay Prakash Associates Construction Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),Stable,Rs. 26.00 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-AjayPrakash-Construction-25sep25.pdf
Ardee Engineering Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),Stable,Rs. 121.00 Cr. (enhanced from Rs. 118.00 Cr.),"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-ardee-engineering-25sep25.pdf
Ardee Engineering Limited,Short Term Bank Facilities,IVR A2 (Reaffirmed),Nil,Rs. 198.00 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-ardee-engineering-25sep25.pdf
Blue Water Logistics Limited,Long Term Facilities,IVR BBB (Assigned),Stable,Rs. 25.00 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-blue-water-25sep25.pdf
Carya Chemicals & Fertilizers Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 186.89 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-carya-chemicals-25sep25.pdf
Commercial Motor Sales Private Limited,Long Term Bank Facilities,IVR BB (Assigned),Stable,Rs. 75.00 Cr.,"Sep 25, 2025",https://www.infomerics.com/admin/uploads/pr-commercial-motor-25sep25.pdf
