Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Dhruv Industries Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 30.57 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-dhruv-industries-13dec24.pdf
Dhruv Industries Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 35.25 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-dhruv-industries-13dec24.pdf
Dhruv Industries Limited,Long/Short Term Bank Facilities,IVR BB-/IVR A4; (INC)(Downgraded/Reaffirmed)),Negative/-,Rs. 0.18 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-dhruv-industries-13dec24.pdf
HR Ispat Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 31.78 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-hr-ispat-13dec24.pdf
HR Ispat Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 15.74 Cr. (Includes proposed limit of Rs. 2.99 crore),"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-hr-ispat-13dec24.pdf
JSE Infotech Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 93.10 Cr. (Includes proposed limit of Rs. 78.60 Crore),"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-jse-infotech-13dec24.pdf
JSE Infotech Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),Nil,Rs. 6.90 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-jse-infotech-13dec24.pdf
Livindia Infra Private Limited,Long Term Bank Facility,IVR BB- (INC)(Downgraded),Negative,Rs. 4.00 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-livindia-13dec24.pdf
Livindia Infra Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),Nil,Rs. 26.50 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-livindia-13dec24.pdf
Shiv krupa Steel and Alloys Private Limited,Long term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 46.71 Cr. (Enhanced from Rs.41.17 crore),"Dec 13, 2024",https://www.infomerics.com/admin/uploads/Pr-Shiv-Krupa-Steel-13dec24.pdf
Shiv krupa Steel and Alloys Private Limited,Short term Bank Facilities,IVR A3 (Upgraded),Nil,Rs. 12.00 Cr. (Enhanced from Rs.11.00 crore),"Dec 13, 2024",https://www.infomerics.com/admin/uploads/Pr-Shiv-Krupa-Steel-13dec24.pdf
Shree Automotive Private Limited,Long Term Bank Facilities (including proposed facility of Rs. 12.77 crore),IVR BB (INC)(Downgraded),Negative,Rs. 162.27 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-Shree-Automotive-13dec24.pdf
Tushar Builders & BKP Infra LLP,Long Term Bank Facilities,IVR B (INC)(Downgraded),Negative,Rs. 59.99 Cr.,"Dec 13, 2024",https://www.infomerics.com/admin/uploads/pr-tusharbuilders-13dec24.pdf
Altorapro Infrastructure Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 31.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-Altorapro-Infrastructure-12dec24.pdf
Altorapro Infrastructure Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 14.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-Altorapro-Infrastructure-12dec24.pdf
AVG Logistics Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 75.85 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-AVG-Logistics-12dec24.pdf
AVG Logistics Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),Nil,Rs. 10.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-AVG-Logistics-12dec24.pdf
AVG Logistics Limited,Long/Short term Bank Facilities (Proposed),IVR BBB/IVR A3+; (Upgraded),Stable/-,Rs. 15.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-AVG-Logistics-12dec24.pdf
Flowmore Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),Stable,Rs. 175.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-flowmore-12dec24.pdf
Flowmore Limited,Short Term Bank Facilities,IVR A2 (Reaffirmed),Nil,Rs. 560.00 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-flowmore-12dec24.pdf
Panesar Steel & Power Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 33.63 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-Panesar-Steel-12dec24.pdf
Sir Shadi Lal Enterprises Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),Negative,Rs. 97.76 Cr.,"Dec 12, 2024",https://www.infomerics.com/admin/uploads/pr-SirShadiLal-Enterprises-12dec24.pdf
Agroh Diu Link Highways Private Limited,Long Term Bank Facilities,IVR A+ (Reaffirmed),Stable,Rs. 258.57 Cr. (Reduced from Rs. 294.00 Crore),"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-Agroh-DiuLink-11dec24.pdf
Akshar Impex Private Limited,Long/Short Term Bank Facilities,IVR BB/IVR A4; (Assigned),Stable/-,Rs. 110.00 Cr.,"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-Akshar-Impex-11dec24.pdf
Amar Infrastructure Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 25.00 Cr.,"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-amar-infra-11dec24.pdf
Amar Infrastructure Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 122.00 Cr.,"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-amar-infra-11dec24.pdf
Ambuj Hotel and Real Estate Private Limited,Long Term Bank Facility,IVR B- (INC)(Downgraded),Negative,Rs. 40.00 Cr.,"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-Ambuj-Hotel-11dec24.pdf
Andhra Pradesh Tourism Development Corporation Limited,Long Term Bank Facilities,IVR BBB (Assigned/Reaffirmed),Stable,Rs. 160.00 Cr. (Enhanced from Rs. 157.00 Crore),"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-AP-Tourism-11dec24.pdf
ANS Constructions Private Limited,Long Term Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 17.21 Cr. (increased from Rs.10.48 crore),"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-ANS-Constructions-11dec24.pdf
ANS Constructions Private Limited,Short Term Facilities,IVR A3 (Reaffirmed),Nil,Rs. 83.39 Cr. (increased from Rs.75.00 crore),"Dec 11, 2024",https://www.infomerics.com/admin/uploads/pr-ANS-Constructions-11dec24.pdf
