Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Blue3 IT Solutions Private Limited,Issuer Ratings,Not found,Stable,Not Applicable,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/Pr-Blue3-IT-Solutions-26aug25.pdf
Kritika Wires Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 56.50 Cr.,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-Kritika-Wires-26aug25.pdf
Kritika Wires Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 48.08 Cr.,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-Kritika-Wires-26aug25.pdf
M and Company Engineers and Contractors Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),Stable,Rs. 11.44 Cr.,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-MCompany-26aug25.pdf
M and Company Engineers and Contractors Private Limited,Short Term Bank Facilities,IVR A4+ (Assigned),Nil,Rs. 23.00 Cr.,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-MCompany-26aug25.pdf
Marya Frozen Agro Food Products Private Limited,Long Term Bank Facilities,IVR BB (Reaffirmed),Stable,Rs. 58.45 Cr. (enhanced from Rs 57.50 crore),"Aug 26, 2025",https://www.infomerics.com/admin/uploads/Pr-Marya-Frozen-Agro-26aug25.pdf
Marya Frozen Agro Food Products Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 1.55 Cr. (Reduced from Rs 2.50 crore),"Aug 26, 2025",https://www.infomerics.com/admin/uploads/Pr-Marya-Frozen-Agro-26aug25.pdf
Nubeno Healthcare Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 67.10 Cr.,"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-nubeno-healthcare-26aug25.pdf
Plastene India Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 177.39 Cr. (Reduced from Rs. 221.35 Crore),"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-plastene-india-26aug25.pdf
Plastene India Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),Nil,Rs. 48.94 Cr. (Enhanced from Rs. 18.65 Crore),"Aug 26, 2025",https://www.infomerics.com/admin/uploads/pr-plastene-india-26aug25.pdf
