Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Adani Properties Private Limited,Short Term Bank Facilities,IVR A1+ (Reaffirmed),Nil,Rs. 50.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-adani-properties-12feb2025.pdf
Agrasen Ispat Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 32.02 Cr. (reduced from Rs. 34.37 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-agrasen-ispat-12feb25.pdf
Agrasen Ispat Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 5.42 Cr. (reduced from Rs. 8.46 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-agrasen-ispat-12feb25.pdf
Agrasen Ispat Private Limited,Short Term Bank Facilities - OD,Withdrawn,Nil,0.00,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-agrasen-ispat-12feb25.pdf
Devi Iron & Power Private Limited,Long Term Bank Facilities,IVR A-,Stable,Rs. 153.61 Cr. (enhanced from Rs. 97.53 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Devi-Iron-12feb25.pdf
Devi Iron & Power Private Limited,Short Term Bank Facilities - Overdraft,Withdrawn,Nil,-,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Devi-Iron-12feb25.pdf
Finkurve Financial Services Limited,Non-Convertible Debentures,IVR BBB (Reaffirmed),Stable,Rs. 7.50 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-finkurve-financial-services-12feb25.pdf
Finkurve Financial Services Limited,Long Term Facilities - Term Loans,IVR BBB (Reaffirmed),Stable,Rs. 19.06 Cr. (Reduced from Rs. 25.00 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-finkurve-financial-services-12feb25.pdf
Finkurve Financial Services Limited,Short Term Facilities - Overdraft / Cash Credit,IVR A3+ (Reaffirmed),Nil,Rs. 31.00 Cr. (Enhanced from Rs. 17.00 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-finkurve-financial-services-12feb25.pdf
Finkurve Financial Services Limited,Long Term/ Short Term Facilities - Proposed,IVR BBB/IVR A3+; (Reaffirmed),Stable/-,Rs. 35.14 Cr. (Reduced from Rs. 50.50 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-finkurve-financial-services-12feb25.pdf
Hindustan Coils Limited,Long Term Bank Facilities,IVR A-,Stable,Rs. 93.34 Cr. (reduced from Rs. 107.69 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Hindustan-Coils-12feb25.pdf
Hindustan Coils Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 10.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Hindustan-Coils-12feb25.pdf
Hindustan Structural Pipes Limited (Erstwhile Ispat India),Long Term Bank Facilities,IVR A-,Stable,Rs. 158.61 Cr. (reduced from Rs. 165.75 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Hindustan-Structural-12feb25.pdf
Hindusthan Loha Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 79.23 Cr. (enhanced from Rs.38.51 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-hindusthan-loha-12feb25.pdf
Mahamaya Sponge Iron Private Limited,Long Term Bank Facilities,IVR A-,Stable,Rs. 35.00 Cr. (Including proposed limit of Rs. 2.00 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Mahamaya-Sponge-12feb25.pdf
Pagariya Exports Private Limited (Formerly Known as Shah Nanji Nagsi Overseas Private Limited),Long Term Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 5.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Pagariya-Exports-12feb24.pdf
Pagariya Exports Private Limited (Formerly Known as Shah Nanji Nagsi Overseas Private Limited),Long Term- Facilities,Withdrawn,Nil,- (Reduced from Rs. 10.00 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Pagariya-Exports-12feb24.pdf
Pagariya Exports Private Limited (Formerly Known as Shah Nanji Nagsi Overseas Private Limited),Short Term Facilities,IVR A3 (Reaffirmed),Nil,Rs. 165.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Pagariya-Exports-12feb24.pdf
Pagariya Exports Private Limited (Formerly Known as Shah Nanji Nagsi Overseas Private Limited),Long Term Facilities-Proposed,IVR BBB- (Assigned),Stable,Rs. 10.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Pagariya-Exports-12feb24.pdf
Pagariya Exports Private Limited (Formerly Known as Shah Nanji Nagsi Overseas Private Limited),Short Term Facilities - Proposed,IVR A3 (Assigned),Nil,Rs. 70.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Pagariya-Exports-12feb24.pdf
Providence Realty LLP,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 116.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-providence-realty-12feb25.pdf
Pushpganga Minerals LLP,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 32.78 Cr. (reduced from Rs. 35.41 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-pushpganga-minerals-12feb25.pdf
S S Alur Construction Company,Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 40.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-SSAlur-12feb25.pdf
S S Alur Construction Company,Short Term Facilities,IVR A3 (Assigned),Nil,Rs. 60.00 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-SSAlur-12feb25.pdf
Shree Shakti Iron & Alloys Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 47.54 Cr. (reduced from Rs. 50.00 Crore),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-ShreeShakti-IronAlloys-12feb25.pdf
Sivaguru Spinning Mills Private Limited,Long Term Facilities,IVR B (INC)(Downgraded),Negative,Rs. 28.48 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-sivaguru-spinning-12feb25.pdf
Sivaguru Spinning Mills Private Limited,Short Term Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 2.52 Cr.,"Feb 12, 2025",https://www.infomerics.com/admin/uploads/pr-sivaguru-spinning-12feb25.pdf
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Long Term Fund Based Facility - Term Loans,IVR A (Reaffirmed),Stable,Rs. 397.16 Cr. (Increased form Rs. 307.11 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Stree-Nidhi-Credit-12feb25.pdf
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Long Term Fund Based Limits - CC/OD,IVR A (Reaffirmed),Stable,Rs. 3650.00 Rs. (Decreased form Rs. 3750.00 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Stree-Nidhi-Credit-12feb25.pdf
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Long Term Fund Based Facility - Proposed Term Loans,IVR A (Reaffirmed),Stable,Rs. 302.84 Cr. (Decreased form Rs. 342.89 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Stree-Nidhi-Credit-12feb25.pdf
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Long Term Fund Based Facility - Proposed CC/OD,IVR A (Reaffirmed),Stable,Rs. 150.00 Cr. (Increased from Rs. Rs. 100.00 Cr.),"Feb 12, 2025",https://www.infomerics.com/admin/uploads/Pr-Stree-Nidhi-Credit-12feb25.pdf
Sanskar Agro Processors Private Limited,Long Term Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 36.00 Cr.,"Feb 11, 2025",https://www.infomerics.com/admin/uploads/pr-sanskar-agro-11feb25.pdf
Sanskar Agro Processors Private Limited,Short Term Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 2.75 Cr.,"Feb 11, 2025",https://www.infomerics.com/admin/uploads/pr-sanskar-agro-11feb25.pdf
Adhunik Corporation Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 21.50 Cr. (enhanced from Rs.13.50 Cr. and including proposed limit of Rs.0.50 Cr.),"Feb 11, 2025",https://www.infomerics.com/admin/uploads/pr-adhunik-corporation-11feb25.pdf
Adhunik Corporation Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),Nil,Rs. 15.50 Cr. (enhanced from Rs.1.50 Cr.),"Feb 11, 2025",https://www.infomerics.com/admin/uploads/pr-adhunik-corporation-11feb25.pdf
