Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Aanjaney Rail Private Limited,Long Term Bank Facilities,IVR BB+ (Upgraded and Withdrawn),Stable,Rs. 44.24 Cr. (Including Proposed Limit of Rs. 10.00 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-aanjeney-rail-12june25.pdf
Aanjaney Rail Private Limited,Short Term Bank Facilities,IVR A4+ (Upgraded and Withdrawn),Nil,Rs. 10.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-aanjeney-rail-12june25.pdf
Auro Impex & Chemicals Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 30.44 Cr. (includes proposed limit of Rs. 7.00 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-auro-impex-12june25.pdf
Auro Impex & Chemicals Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 14.56 Cr. (includes proposed limit of Rs. 10.16 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-auro-impex-12june25.pdf
Emaar Diamonds Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 9.00 Cr. (Reduced from Rs. 9.38 Cr.),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-Emaar-Diamonds-12june25.pdf
Express Projects Private Limited,Long Term Bank Facilities,IVR BB+ (Upgraded and Withdrawn),Stable,Rs. 33.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-Express-Projects-12june25.pdf
Hiend Print and Pack Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 29.99 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-Hiend-PrintPack-12june25.pdf
Jai Prabhuji Iron & Steel Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 35.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-jaiprabhuji-12june25.pdf
Jai Prabhuji Iron & Steel Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 15.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-jaiprabhuji-12june25.pdf
Karp Impex Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 650.00 Cr. (reduced from Rs. 706.30 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-karp-impex-12june25.pdf
LoanX Alder Apr 2025 (Originator: AMU Leasing Private Limited),Long Term - Series A1 PTCs,Provisional IVR BBB- (SO)(Assigned),Stable,Rs. 10.13 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-LoanX-Alder-12jun25.pdf
Mangalam Worldwide Limited,Long Term Facilities,IVR BBB (Upgraded)(Withdrawn),Stable,Rs. 130.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-mangalam-worldwide-12june25.pdf
Mangalam Worldwide Limited,Short Term Bank Facilities,IVR A3+ (Upgraded)(Withdrawn),Nil,Rs. 10.00 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-mangalam-worldwide-12june25.pdf
Mohit Diamonds Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 13.82 Cr. (Enhanced from Rs. 9.99 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-mohit-diamonds-12june2025.pdf
Mohit Diamonds Private Limited,Proposed Long/Short Term Bank Facilities,IVR BBB-/IVR A3; (Assigned),Stable/-,Rs. 17.98 Cr.,"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-mohit-diamonds-12june2025.pdf
Mohit Diamonds Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 88.20 Cr. (Enhanced from Rs.79.20 Crore),"Jun 12, 2025",https://www.infomerics.com/admin/uploads/pr-mohit-diamonds-12june2025.pdf
