Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Ankur Biochem Private Limited,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),Negative,Rs. 413.08 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-28april25.pdf
Ankur Biochem Private Limited,Long Term/ Short Term Bank Facilities,IVR BBB/ IVR A3+ (INC)(Downgraded),Negative/-,Rs. 30.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-28april25.pdf
Computronics Multivision Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 6.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/Pr-Computronics-Multivision-28apr25.pdf
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 92.40 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-GLS-Aluminium-28apr25.pdf
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Short Term Bank Facilities,IVR A3 (Upgraded),Nil,Rs. 11.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-GLS-Aluminium-28apr25.pdf
GLS Films Industries Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 121.66 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-GLS-Films-28apr25.pdf
GLS Films Industries Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 69.75 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-GLS-Films-28apr25.pdf
Inbrew Beverages Private Limited,Non-Convertible Debenture (NCD),IVR BB- (Upgraded),Stable,Rs. 571.00 Cr. (reduced from Rs. 685.00 Crore),"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-inbrew-beverages-28apr25.pdf
Inbrew Beverages Private Limited,Proposed NCD,IVR BB- (Assigned),Stable,Rs. 75.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-inbrew-beverages-28apr25.pdf
Nido Home Finance Limited,Proposed Commercial Paper (CPs),IVR A1+ (Assigned),Nil,Rs. 100.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-Nido-HomeFinance-28apr25.pdf
Om Shivam Buildcon Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 99.13 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-OmShivam-Buildcon-28apr25.pdf
Penta Star Trading LLP,Long Term Facilities,IVR BB (Assigned),Stable,Rs. 50.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-PentaStar-Trading-28apr25.pdf
Penta Star Trading LLP,Proposed Long Term Facilities,IVR BB (Assigned),Stable,Rs. 20.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-PentaStar-Trading-28apr25.pdf
Rajasthan Rajya Vidyut Utpadan Nigam Limited,Long Term Bank Facilities,IVR C (Reaffirmed),Stable,Rs. 1850.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-rajasthanrajya-utpadan-28apr25.pdf
Rajasthan Rajya Vidyut Utpadan Nigam Limited,Long Term Non-Convertible Debentures,IVR C (Reaffirmed),Stable,Rs. 745.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-rajasthanrajya-utpadan-28apr25.pdf
Rajasthan Rajya Vidyut Utpadan Nigam Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 150.00 Cr.,"Apr 28, 2025",https://www.infomerics.com/admin/uploads/pr-rajasthanrajya-utpadan-28apr25.pdf
