Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
A G Ashtavinayaka Petrochem Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 34.64 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-AG-Ashtavinayaka-11juy25.pdf
A G Ashtavinayaka Petrochem Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 15.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-AG-Ashtavinayaka-11juy25.pdf
Adira Telecom Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 60.00 Cr. (including proposed limit of Rs. 11.00 Cr.),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Adira-Telecom-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Long Term Bank Facilities - Term Loan,IVR BB+ (Reaffirmed),Stable,Rs. 32.10 Cr. (Reduced from Rs 34.81 crore),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Long Term Bank Facilities - Term Loan GECL Extn,IVR BB+ (Reaffirmed),Stable,Rs. 1.08 Cr. (Reduced from Rs.1.98 crore),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Long Term Bank Facilities - Term Loan GECL 1.0,Withdrawn,Nil,0.00 (Reduced from Rs.0.47 crore),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Long Term Bank Facilities - Usance Bills Discounting,IVR BB+ (Reaffirmed),Stable,Rs. 5.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Long Term Bank Facilities - Cash Credit,IVR BB+ (Reaffirmed),Stable,Rs. 22.50 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Short Term Bank Facilities - LC,IVR A4+ (Reaffirmed),Nil,Rs. 37.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Short Term Bank Facilities - Credit Equivalent Exposure,IVR A4+ (Reaffirmed),Nil,Rs. 0.40 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Ambani Orgochem Limited (Erstwhile Ambani Organics Limited),Proposed Short Term,IVR A4+ (Reaffirmed),Nil,Rs. 2.78 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Ambani-Orgochem-11july25.pdf
Asian Granito India Limited,Long Term Facilities,IVR BBB+ (Reaffirmed),Stable,Rs. 145.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Asian-Granito-11july25.pdf
Asian Granito India Limited,Short Term Facilities,IVR A2 (Reaffirmed),Nil,Rs. 10.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/Pr-Asian-Granito-11july25.pdf
CDR Infracon Limited (erstwhile CDR & Co Constructions),Long Term Bank Facilities,IVR BBB+ (Upgraded),Stable,Rs. 130.00 Cr. (enhanced from Rs. 65.00 Cr. and including proposed limit of Rs. 21.00 Cr.),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-CDR-Infracon-11july25.pdf
CDR Infracon Limited (erstwhile CDR & Co Constructions),Short Term Bank Facility,IVR A2 (Upgraded),Nil,Rs. 100.00 Cr. (enhanced from Rs. 50.00 Cr.),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-CDR-Infracon-11july25.pdf
Dhunseri Ventures Limited (erstwhile Dhunseri Petrochem Limited),Short Term Bank Facility,IVR A1+ (Reaffirmed),Nil,Rs. 30.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-dhunseri-ventures-11july25.pdf
Dillip Constructions Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 0.90 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-dillip-constructions-11july25.pdf
Dillip Constructions Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 59.10 Cr. (including proposed limit of Rs. 35.76 Cr.),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-dillip-constructions-11july25.pdf
K.M. Sugar Mills Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),Stable,Rs. 287.31 Cr. (Reduced from Rs. 296.94 Cr.),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-KM-SugarMills-11july25.pdf
K.M. Sugar Mills Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 7.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-KM-SugarMills-11july25.pdf
Lion Fabrics Private Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),Nil,Rs. 92.85 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-lion-fabrics-11july25.pdf
Mahamanav Ispat Private Limited,Long Term Bank Facilities,Withdrawn,Nil,-,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-mahamanav-ispat-11july25.pdf
PVR Spinning and Weaving Limited,Long Term Facilities,IVR B+ (INC)(Downgraded),Negative,Rs. 36.00 Cr.,"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-PVR-spinning-11july25.pdf
Rainbow Fabart Private Limited,Long Term Bank Facilities,IVR BBB (Upgraded),Stable,Rs. 8.88 Cr. (Reduced from Rs. 12.52 Crore),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-rainbow-fabart-11july25.pdf
Rainbow Fabart Private Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),Nil,Rs. 48.50 Cr. (Enhanced from Rs. 47.48 crore),"Jul 11, 2025",https://www.infomerics.com/admin/uploads/pr-rainbow-fabart-11july25.pdf
