Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
SVR Electricals Private Limited,Proposed Long Term Fund Based Bank Facility - Cash Credit,IVR C+ (INC)(Downgraded),Negative,Rs. 7.25 Cr.,"Nov 07, 2024",https://www.infomerics.com/admin/uploads/pr-SVR-Electricals-7nov24.pdf
SVR Electricals Private Limited,Proposed Long Term / Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C+/IVR A4; (INC)(Downgraded/Reaffirmed),Negative/-,Rs. 18.75 Cr.,"Nov 07, 2024",https://www.infomerics.com/admin/uploads/pr-SVR-Electricals-7nov24.pdf
SVR Electricals Private Limited,Proposed Short Term Non- Fund Based Bank Facility - Letter of Credit,IVR A4 (INC)(Reaffirmed),Nil,Rs. 1.00 Cr.,"Nov 07, 2024",https://www.infomerics.com/admin/uploads/pr-SVR-Electricals-7nov24.pdf
Arkas Energy LLP,Long Term Bank Facilities,IVR B (INC)(Downgraded),Negative,Rs. 17.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Arkas-Energy-6nov24.pdf
Bhaskar Steel and Ferro Alloy Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 173.27 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Bhaskar-Steel-6nov24.pdf
BKB Transport Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 24.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-BKB-Transport-6nov24.pdf
BKB Transport Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 45.70 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-BKB-Transport-6nov24.pdf
Dhara Motor Finance Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 161.11 Cr. (reduced from Rs. 200.00 Cr.),"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dhara Motor Finance Limited,Long Term Bank Facilities,IVR BBB (Assigned),Stable,Rs. 30.49 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dhara Motor Finance Limited,Non-Convertible Debentures,IVR BBB (Assigned),Stable,Rs. 7.66 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dhara Motor Finance Limited,Long term Bank Facilities - Proposed,IVR BBB (Reaffirmed),Stable,Rs. 88.40 Cr. (enhanced from Rs. 23.89 Cr.),"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dhara Motor Finance Limited,Proposed Non-Convertible Debentures,IVR BBB (Assigned),Stable,Rs. 12.34 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dhara Motor Finance Limited,Fixed Deposit,Withdrawn,Nil,0.00 (reduced from Rs. 9.00 Cr.),"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-DharaMotor-Fi-nov24.pdf
Dharni Sugar Mill Private Limited,Long Term Bank Facilities (including proposed facility of Rs. 4.00 Crore),IVR BB (Assigned),Stable,Rs. 50.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Dharni-SugarMill-6nov24.pdf
Granite Mart Limited,Long Term Bank Facilities,IVR B+ (Assigned),Stable,Rs. 32.86 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-GraniteMart-6nov24.pdf
Granite Mart Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 2.75 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-GraniteMart-6nov24.pdf
Maa Mahamaya Industries Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Positive,Rs. 160.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Maa-Mahamaya-6nov24.pdf
Maa Mahamaya Industries Limited,Short Term Facilities,IVR A3+ (Reaffirmed),Nil,Rs. 7.32 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Maa-Mahamaya-6nov24.pdf
Maa Mahamaya Industries Limited,Non-Convertible Debentures,IVR BBB (Reaffirmed),Positive,Rs. 44.56 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Maa-Mahamaya-6nov24.pdf
