Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Andhra Pradesh Tourism Development Corporation Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 160.00 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/pr-AndhraPradesh-Tourism-27june25.pdf
Brizeal Realtors and Developers LLP,Long Term Bank Facility,Withdrawn,Nil,-,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/Pr-Brizeal-Realtors-27june25.pdf
HG Extrusion LLP,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 34.88 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/pr-HG-Extrusion-27june25.pdf
HG Extrusion LLP,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 13.75 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/pr-HG-Extrusion-27june25.pdf
J M Mhatre Infra Private Limited (JMMIPL),Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 135.71 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/Pr-JM-Mhatre-Infra-27jun25.pdf
J M Mhatre Infra Private Limited (JMMIPL),Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 375.00 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/Pr-JM-Mhatre-Infra-27jun25.pdf
LTC Commercial Company Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 0.96 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/Pr-LTC-Commercial-Co-27june25.pdf
LTC Commercial Company Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),Nil,Rs. 24.09 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/Pr-LTC-Commercial-Co-27june25.pdf
Onix - Tech Renewable Private Limited,Long Term Bank Facilities,IVR BBB+ (CE)(Upgraded),Stable,Rs. 35.00 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/pr-onix-tech-27june25.pdf
Onix - Tech Renewable Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),Stable,Rs. 118.49 Cr.,"Jun 27, 2025",https://www.infomerics.com/admin/uploads/pr-onix-tech-27june25.pdf
