Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
NHC Foods Limited,Proposed Long Term Bank Facilities - Cash Credit,IVR BBB- (Assigned),Stable,Rs. 20.81 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-NHC-foods-16sep25.pdf
Orito Polyfab Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 60.66 Cr. (Including proposed limit of Rs. 3.51 crore),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-orito-polyfab-16sep25.pdf
Orito Polyfab Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 3.50 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-orito-polyfab-16sep25.pdf
Paisalo Digital Limited,Long Term Bank Facilities,IVR AA (Reaffirmed),Stable,Rs. 3181.89 Cr. (Increased from Rs. 2663.81 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Proposed Long Term Bank Facilities,IVR AA (Reaffirmed),Stable,Rs. 418.11 Cr. (Reduced from Rs. 936.19 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Stable,Rs. 186.75 Cr. (Increased from Rs. 164.75 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Stable,Rs. 25.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Stable,Rs. 50.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Proposed Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Stable,Rs. 248.25 Cr. (Reduced from Rs. 282.25 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Commercial Paper (CPs),IVR A1+ (Reaffirmed),Nil,Rs. 75.00 Cr. (Reduced from Rs. 103.00 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Paisalo Digital Limited,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),Nil,Rs. 465.00 Cr. (Increased from Rs. 437.00 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/Pr-Paisalo-Digital-16sept25.pdf
Rama Motocorp Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 70.00 Cr. (includes proposed facility of Rs. 9.49 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-rama-motocorp-16sep25.pdf
Rewa Ultra Mega Solar Limited,Proposed Long Term Bank Facilities,IVR A (Assigned),Stable,Rs. 500.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-rewaultra-16sep25.pdf
Ronak Rocks Private Limited,Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 9.72 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-ronak-rocks-16sep25.pdf
Ronak Rocks Private Limited,Short Term Facilities,IVR A3 (Assigned),Nil,Rs. 58.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-ronak-rocks-16sep25.pdf
Saisidha Engineering Industries Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 46.13 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-saisidha-engineering-16sep25.pdf
Saisidha Engineering Industries Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 20.50 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-saisidha-engineering-16sep25.pdf
Saisidha Engineering Industries Private Limited,Proposed Bank Guarantee,IVR A3 (Assigned),Nil,Rs. 13.87 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-saisidha-engineering-16sep25.pdf
Scasa Nutrients Private Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),Nil,Rs. 24.37 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-scasa-nutrients-16sep25.pdf
Sheetal Cool Products Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),Negative,Rs. 50.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-sheetal-cool-16sep25.pdf
Shree Durga Syntex Private Limited,Long Term Bank Facilities,IVR A (Assigned),Stable,Rs. 304.78 Cr.,"Oct 09, 2025",https://www.infomerics.com/admin/uploads/pr-ShreeDurga-Syntex-9oct25.pdf
Shree Durga Syntex Private Limited,Short Term Bank Facilities,IVR A1 (Assigned),Nil,Rs. 2.00 Cr.,"Oct 09, 2025",https://www.infomerics.com/admin/uploads/pr-ShreeDurga-Syntex-9oct25.pdf
Shree Durga Syntex Private Limited,Proposed Long/Short term bank facilities,IVR A/IVR A1; (Assigned),Stable/-,Rs. 5.22 Cr.,"Oct 09, 2025",https://www.infomerics.com/admin/uploads/pr-ShreeDurga-Syntex-9oct25.pdf
