Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Annapoorani Textiles Private Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),Stable,Rs. 97.50 Cr. (Reduced from Rs. 100.27 Crore),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-annapoorani-textiles-9sep25.pdf
Annapoorani Textiles Private Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),Nil,Rs. 25.00 Cr. (Enhanced from Rs. 20.00 Crore),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-annapoorani-textiles-9sep25.pdf
Asian Hotels (North) Limited,Long Term Facilities,IVR D (Assigned),Nil,Rs. 685.05 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-asian-hotels-9sep25.pdf
BR Steel & Power Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),Stable,Rs. 115.35 Cr. (enhanced from Rs. 107.23 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-BRSteel-Power-9sep25.pdf
Capital India Finance Limited,Fund Based Long Term Loans - Term Loans,IVR A (Reaffirmed),Stable,Rs. 531.78 Cr. (Reduced from Rs. 580.34 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Fund Based Long Term Loans - Proposed Term Loans,IVR A (Reaffirmed),Stable,Rs. 343.22 Cr. (Increased from Rs. 294.66 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Fund Based Working Capital Facilities - Cash Credit,IVR A (Reaffirmed),Stable,Rs. 25.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Non-Convertible Debentures (NCDs) - INE345H07054,IVR A (Reaffirmed),Stable,Rs. 50.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capital India Finance Limited,Proposed Non-Convertible Debentures (NCDs),IVR A (Reaffirmed),Stable,Rs. 50.00 Cr. (Reduced from Rs. 100.00 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capital-india-9sep25.pdf
Capri Global Capital Limited,Proposed Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Positive,Rs. 350 Cr. (Reduced from Rs. 400.00 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Capri Global Capital Limited,Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Positive,Rs. 320.00 Cr. (Increased from Rs. 170 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Capri Global Capital Limited,Proposed Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),Positive,Rs. 30 Cr. (Reduced from Rs. 130.00 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Capri Global Capital Limited,Long Term Bank Facilities - Term Loan,IVR AA (Reaffirmed),Positive,Rs. 7163.82 Cr. (Increased from Rs. 6672.55 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Capri Global Capital Limited,Long term Bank Facilities - Proposed Term Loans,IVR AA (Reaffirmed),Positive,Rs. 336.18 Cr. (Reduced from Rs. 842.45 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Capri Global Capital Limited,Long Term Bank Facilities - Cash Credit,IVR AA (Reaffirmed),Positive,Rs. 595 Cr. (Increased from Rs. 580.00 Cr.),"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-capriglobal-capital-09sep25.pdf
Embassy Developments Limited (Formerly Equinox India Developments Limited),Non-Convertible Debentures (NCDs),IVR A- (Reaffirmed),Stable,Rs. 120.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-embassy-developments-9sep25.pdf
Embassy Developments Limited (Formerly Equinox India Developments Limited),Proposed Non-Convertible Debentures (NCDs),IVR A- (Reaffirmed),Stable,Rs. 700.00 Cr.,"Sep 09, 2025",Not found
Encorp Powertrans Private Limited,Long Term Bank Facilities,IVR BB- (ISSUER NOT COOPERATING),Negative,Rs. 36.35 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-encorp-powertrans-9sep25.pdf
Encorp Powertrans Private Limited,Short Term Bank Facilities,IVR A4 (ISSUER NOT COOPERATING),Nil,Rs. 60.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-encorp-powertrans-9sep25.pdf
Encorp Powertrans Private Limited,Proposed Long Term Bank Facilities,IVR BB- (ISSUER NOT COOPERATING),Negative,Rs. 10.00 Cr.,"Sep 09, 2025",https://www.infomerics.com/admin/uploads/pr-encorp-powertrans-9sep25.pdf
